Make,Model,Vehicle Type,Vehicle Type NEW
BMW,X3,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
BMW,X4,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
BMW,X5,PASSENGER CAR,Passenger Car
BMW,X5,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
BMW,Z3,PASSENGER CAR,Passenger Car
BMW,Z4,PASSENGER CAR,Passenger Car
BUICK,CENTURY,PASSENGER CAR,Passenger Car
BUICK,ENCLAVE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
BUICK,ENCORE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
BUICK,ENVISION,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
BUICK,LACROSSE,PASSENGER CAR,Passenger Car
BUICK,LESABRE,PASSENGER CAR,Passenger Car
BUICK,LUCERNE,PASSENGER CAR,Passenger Car
BUICK,PARK AVENUE,PASSENGER CAR,Passenger Car
BUICK,RAINIER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
BUICK,REGAL,PASSENGER CAR,Passenger Car
BUICK,RENDEZVOUS,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
TOYOTA,TACOMA,TRUCK,Combination Long-haul Truck
BUICK,RIVIERA,PASSENGER CAR,Passenger Car
BUICK,ROADMASTER,PASSENGER CAR,Passenger Car
BUICK,VERANO,PASSENGER CAR,Passenger Car
CADILLAC,ATS,PASSENGER CAR,Passenger Car
CADILLAC,CTS,PASSENGER CAR,Passenger Car
CADILLAC,DEVILLE,PASSENGER CAR,Passenger Car
CADILLAC,DTS,PASSENGER CAR,Passenger Car
CADILLAC,ELDORADO,PASSENGER CAR,Passenger Car
CADILLAC,ESCALADE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CADILLAC,FLEETWOOD,PASSENGER CAR,Passenger Car
CADILLAC,SEVILLE,PASSENGER CAR,Passenger Car
CADILLAC,SRX,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,CAMARO,PASSENGER CAR,Passenger Car
CADILLAC,STS,PASSENGER CAR,Passenger Car
CADILLAC,XT4,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CADILLAC,XT5,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CADILLAC,XTS,PASSENGER CAR,Passenger Car
CHEV,EXPRESS CUTAWAY,INCOMPLETE VEHICLE,Transit Bus
CHEV,P30,INCOMPLETE VEHICLE,Other Buses
CHEV,SILVERADO,INCOMPLETE VEHICLE,Transit Bus
CHEV,SUBURBAN,INCOMPLETE VEHICLE,Single Unit Long-haul Truck
CHEVROLET,ASTRO VAN,TRUCK,Refuse Truck
CHEVROLET,ASTRO VAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,AVALANCHE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,AVEO,PASSENGER CAR,Passenger Car
CHEVROLET,BLAZER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,BOLT EV,PASSENGER CAR,Passenger Car
CHEVROLET,C/K PICKUP,TRUCK,Combination Short-haul Truck
CHEVROLET,CAPRICE,PASSENGER CAR,Passenger Car
CHEVROLET,CAPTIVA SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,CAVALIER,PASSENGER CAR,Passenger Car
CHEVROLET,COBALT,PASSENGER CAR,Passenger Car
CHEVROLET,COLORADO,TRUCK,Passenger Truck
CHEVROLET,CORSICA,PASSENGER CAR,Passenger Car
CHEVROLET,CORVETTE,PASSENGER CAR,Passenger Car
CHEVROLET,CRUZE,PASSENGER CAR,Passenger Car
CHEVROLET,EQUINOX,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,EXPRESS,TRUCK,Single Unit Short-haul Truck
BMW,430I,PASSENGER CAR,Passenger Car
CHEVROLET,EXPRESS,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,EXPRESS,BUS,Other Buses
CHEVROLET,GEO PRIZM,PASSENGER CAR,Passenger Car
CHEVROLET,GMT-400,TRUCK,Single Unit Short-haul Truck
CHEVROLET,G-SERIES,TRUCK,Single Unit Long-haul Truck
CHEVROLET,HHR,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,IMPALA,PASSENGER CAR,Passenger Car
CHEVROLET,IMPALA LIMITED,PASSENGER CAR,Passenger Car
CHEVROLET,LUMINA,PASSENGER CAR,Passenger Car
CHEVROLET,MALIBU,PASSENGER CAR,Passenger Car
CHEVROLET,MALIBU CLASSIC,PASSENGER CAR,Passenger Car
CHEVROLET,METRO,PASSENGER CAR,Passenger Car
CHEVROLET,MONTE CARLO,PASSENGER CAR,Passenger Car
CHEVROLET,S-10 PICKUP,TRUCK,Combination Long-haul Truck
CHEVROLET,SILVERADO,TRUCK,Single Unit Short-haul Truck
CHEVROLET,SILVERADO HD,TRUCK,Combination Long-haul Truck
CHEVROLET,SILVERADO LD,TRUCK,Light Commercial Truck
CHEVROLET,SONIC,PASSENGER CAR,Passenger Car
CHEVROLET,SPARK,PASSENGER CAR,Passenger Car
CHEVROLET,SUBURBAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,TAHOE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,TRACKER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,TRAILBLAZER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,TRAVERSE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,TRAX,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,UPLANDER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,VENTURE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHEVROLET,VOLT,PASSENGER CAR,Passenger Car
CHONGQING ASTRONAUTIC BASHAN,CHONGQING ASTRONAUTIC BASHAN,MOTORCYCLE,Other
CHRYSLER,200,PASSENGER CAR,Passenger Car
CHRYSLER,300,PASSENGER CAR,Passenger Car
CHRYSLER,300C,PASSENGER CAR,Passenger Car
CHRYSLER,ASPEN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHRYSLER,CIRRUS,PASSENGER CAR,Passenger Car
CHRYSLER,CROSSFIRE,PASSENGER CAR,Passenger Car
CHRYSLER,LEBARON,PASSENGER CAR,Passenger Car
CHRYSLER,PACIFICA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHRYSLER,PT CRUISER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHRYSLER,SEBRING,PASSENGER CAR,Passenger Car
CHRYSLER,TOWN AND COUNTRY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CHRYSLER,VOYAGER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
DODG,D350,INCOMPLETE VEHICLE,Refuse Truck
DODG,RAMVAN,INCOMPLETE VEHICLE,Single Unit Long-haul Truck
DODGE,AVENGER,PASSENGER CAR,Passenger Car
DODGE,CALIBER,PASSENGER CAR,Passenger Car
DODGE,CARAVAN/GRAND CARAVAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
LEXUS,ES,PASSENGER CAR,Passenger Car
DODGE,CHALLENGER,PASSENGER CAR,Passenger Car
DODGE,CHARGER,PASSENGER CAR,Passenger Car
DODGE,DAKOTA,TRUCK,Light Commercial Truck
DODGE,DART,PASSENGER CAR,Passenger Car
DODGE,D-SERIES,TRUCK,Single Unit Long-haul Truck
DODGE,DURANGO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
DODGE,GRAND CARAVAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
DODGE,INTREPID,PASSENGER CAR,Passenger Car
DODGE,JOURNEY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
DODGE,MAGNUM,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
DODGE,NEON,PASSENGER CAR,Passenger Car
DODGE,NITRO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
DODGE,OMNI,PASSENGER CAR,Passenger Car
DODGE,RAM,TRUCK,Light Commercial Truck
DODGE,RAM 50,TRUCK,Passenger Truck
DODGE,RAM VAN,TRUCK,Refuse Truck
DODGE,RAM WAGON,BUS,Other Buses
DODGE,RAM WAGON,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
DODGE,SPRINTER,TRUCK,Refuse Truck
DODGE,STRATUS,PASSENGER CAR,Passenger Car
DODGE,W-SERIES,TRUCK,Light Commercial Truck
DUCATI,DIAVEL,MOTORCYCLE,Other
DUCATI,"SCRAMBLER DESERT SLED, DUCATI SCRAMBLER 1100",MOTORCYCLE,Other
FERRARI,308GTSI,PASSENGER CAR,Passenger Car
FIAT,500,PASSENGER CAR,Passenger Car
FORD,AEROSTAR,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,ASPIRE,PASSENGER CAR,Passenger Car
FORD,C-MAX,PASSENGER CAR,Passenger Car
FORD,CONTOUR,PASSENGER CAR,Passenger Car
FORD,CROWN VICTORIA,PASSENGER CAR,Passenger Car
FORD,E-150,TRUCK,Single Unit Short-haul Truck
FORD,E-250,TRUCK,Refuse Truck
FORD,E-350,BUS,School Bus
FORD,E-350,TRUCK,Refuse Truck
FORD,ECONOLINE,INCOMPLETE VEHICLE,Other Buses
FORD,EDGE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,ESCAPE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,ESCORT,PASSENGER CAR,Passenger Car
FORD,EXCURSION,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,EXPEDITION,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,EXPEDITION EL,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,EXPEDITION MAX,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KIA,FORTE,PASSENGER CAR,Passenger Car
FORD,EXPLORER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
NISSAN,LEAF,PASSENGER CAR,Passenger Car
FORD,EXPLORER SPORT TRAC,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,F150,TRUCK,Refuse Truck
FORD,F-150,TRUCK,Single Unit Short-haul Truck
FORD,F-150 HERITAGE,TRUCK,Passenger Truck
FORD,F-250,TRUCK,Combination Long-haul Truck
FORD,F350,INCOMPLETE VEHICLE,Combination Short-haul Truck
FORD,F-350,TRUCK,Refuse Truck
FORD,F350PU,INCOMPLETE VEHICLE,Refuse Truck
FORD,F800,INCOMPLETE VEHICLE,Passenger Truck
FORD,FIESTA,PASSENGER CAR,Passenger Car
FORD,FLEX,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,FOCUS,PASSENGER CAR,Passenger Car
FORD,FREESTAR,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,FREESTYLE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,FUSION,PASSENGER CAR,Passenger Car
FORD,MUSTANG,PASSENGER CAR,Passenger Car
FORD,RANGER,TRUCK,Combination Short-haul Truck
FORD,TAURUS,PASSENGER CAR,Passenger Car
FORD,TAURUS X,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,TEMPO,PASSENGER CAR,Passenger Car
FORD,THUNDERBIRD,PASSENGER CAR,Passenger Car
FORD,TRANSIT,TRUCK,Combination Short-haul Truck
FORD,TRANSIT,BUS,Other Buses
FORD,TRANSIT CONNECT,TRUCK,Light Commercial Truck
FORD,WINDSTAR,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
FORD,ZX2,PASSENGER CAR,Passenger Car
GEO,METRO,PASSENGER CAR,Passenger Car
GEO,PRIZM,PASSENGER CAR,Passenger Car
GEO,TRACKER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GMC,ACADIA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GMC,C6000,INCOMPLETE VEHICLE,Single Unit Long-haul Truck
GMC,CANYON,TRUCK,Single Unit Long-haul Truck
GMC,ENVOY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GMC,GMT-400,TRUCK,Passenger Truck
GMC,JIMMY UTILITY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GMC,S15 UTILITY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GMC,SAFARI,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GMC,SAVANA,INCOMPLETE VEHICLE,School Bus
GMC,SIERRA,TRUCK,Single Unit Short-haul Truck
GMC,SONOMA,TRUCK,Refuse Truck
GMC,SUBURBAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GMC,TERRAIN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GMC,YUKON,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
NISSAN,VERSA,PASSENGER CAR,Passenger Car
GMC,YUKON XL,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HARLEY DAVIDSON,DYNA FAT BOB,MOTORCYCLE,Other
HARLEY DAVIDSON,DYNA SUPER GLIDE CUSTOM,MOTORCYCLE,Other
HARLEY DAVIDSON,DYNA WIDE GLIDE,MOTORCYCLE,Other
HARLEY DAVIDSON,ELECTRA GLIDE ULTRA CLASSIC SHRINE,MOTORCYCLE,Other
HARLEY DAVIDSON,ELECTRA GLIDE ULTRA LIMITED,MOTORCYCLE,Other
HARLEY DAVIDSON,FAT BOY,MOTORCYCLE,Other
HARLEY DAVIDSON,FLFBS ANV / 115TH ANNIVERSARY FAT BOY 114,MOTORCYCLE,Other
HARLEY DAVIDSON,FLHRC / ROAD KING CLASSIC,MOTORCYCLE,Other
HARLEY DAVIDSON,FLHRCI / ROAD KING CLASSIC,MOTORCYCLE,Other
HARLEY DAVIDSON,FLHTC / ELECTRA GLIDE CLASSIC,MOTORCYCLE,Other
HARLEY DAVIDSON,FLHTCUI / ULTRA CLASSIC ELECTRA GLIDE,MOTORCYCLE,Other
HARLEY DAVIDSON,FLHXS / STREET GLIDE SPECIAL,MOTORCYCLE,Other
HARLEY DAVIDSON,FLSTC / HERITAGE SOFTAIL CLASSIC,MOTORCYCLE,Other
HARLEY DAVIDSON,FLTRU / ROAD GLIDE ULTRA,MOTORCYCLE,Other
HARLEY DAVIDSON,FLTRXS / ROAD GLIDE SPECIAL,MOTORCYCLE,Other
HARLEY DAVIDSON,HERITAGE SOFTAIL CLASSIC,MOTORCYCLE,Other
HARLEY DAVIDSON,NIGHT TRAIN,MOTORCYCLE,Other
HARLEY DAVIDSON,POLICE ROAD KING,MOTORCYCLE,Other
HARLEY DAVIDSON,SOFTAIL DEUCE,MOTORCYCLE,Other
HARLEY DAVIDSON,SOFTAIL SLIM,MOTORCYCLE,Other
HARLEY DAVIDSON,SOFTAIL SPRINGER CLASSIC,MOTORCYCLE,Other
HARLEY DAVIDSON,SOFTAIL STANDARD,MOTORCYCLE,Other
HARLEY DAVIDSON,SPORTSTER 883 CUSTOM,MOTORCYCLE,Other
HARLEY DAVIDSON,STREET GLIDE,MOTORCYCLE,Other
HARLEY DAVIDSON,STREET GLIDE SPECIAL,MOTORCYCLE,Other
HONDA,ACCORD,PASSENGER CAR,Passenger Car
FORD,R10PU,TRUCK,Light Commercial Truck
HONDA,ACCORD CROSSTOUR,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,CB250 (NIGHTHAWK),MOTORCYCLE,Other
HONDA,CB500,MOTORCYCLE,Other
HONDA,CIV2D,PASSENGER CAR,Passenger Car
HONDA,CIVIC,PASSENGER CAR,Passenger Car
HONDA,CRF1000,MOTORCYCLE,Other
HONDA,CRF1000 (AFRICA TWIN),MOTORCYCLE,Other
HONDA,CRF230,MOTORCYCLE,Other
HONDA,CROSSTOUR,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,CR-V,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,DEL SOL,PASSENGER CAR,Passenger Car
HONDA,ELEMENT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,FIT,PASSENGER CAR,Passenger Car
HONDA,GL1800,MOTORCYCLE,Other
HONDA,HR-V,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,INSIGHT,PASSENGER CAR,Passenger Car
HONDA,MSX125 (GROM),MOTORCYCLE,Other
HONDA,NPS50 (RUCKUS),MOTORCYCLE,Other
HONDA,ODYSSEY,PASSENGER CAR,Passenger Car
HONDA,ODYSSEY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,PASSPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,PILOT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,PRELUDE,PASSENGER CAR,Passenger Car
HONDA,RIDGELINE,TRUCK,Refuse Truck
HONDA,VT1100C2 (SHADOW SABRE),MOTORCYCLE,Other
HONDA,VT750 (SHADOW SPIRIT 750),MOTORCYCLE,Other
HONDA,XR250L,MOTORCYCLE,Other
HONDA,XR650,MOTORCYCLE,Other
HUMMER,H2,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HUMMER,H3,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HYUNDAI,ACCENT,PASSENGER CAR,Passenger Car
HYUNDAI,ELANTRA,PASSENGER CAR,Passenger Car
HYUNDAI,ELANTRA GT,PASSENGER CAR,Passenger Car
HYUNDAI,ELANTRA TOURING,PASSENGER CAR,Passenger Car
HYUNDAI,ENTOURAGE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HYUNDAI,GENESIS,PASSENGER CAR,Passenger Car
HYUNDAI,GENESIS COUPE,PASSENGER CAR,Passenger Car
HYUNDAI,IONIQ,PASSENGER CAR,Passenger Car
HYUNDAI,KONA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HYUNDAI,SANTA FE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HYUNDAI,SANTA FE SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HYUNDAI,SONATA,PASSENGER CAR,Passenger Car
HYUNDAI,TIBURON,PASSENGER CAR,Passenger Car
HYUNDAI,TUCSON,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HYUNDAI,VELOSTER,PASSENGER CAR,Passenger Car
HYUNDAI,VERACRUZ,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
INDIAN MOTORCYCLE,SCOUT BOBBER ABS,MOTORCYCLE,Other
INFINITI,FX35,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
INFINITI,FX50,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
INFINITI,G35,PASSENGER CAR,Passenger Car
INFINITI,G37,PASSENGER CAR,Passenger Car
INFINITI,M35,PASSENGER CAR,Passenger Car
INFINITI,M37,PASSENGER CAR,Passenger Car
INFINITI,Q40,PASSENGER CAR,Passenger Car
INFINITI,Q50,PASSENGER CAR,Passenger Car
INFINITI,Q60,PASSENGER CAR,Passenger Car
INFINITI,QX4,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
INFINITI,QX50,PASSENGER CAR,Passenger Car
INFINITI,QX50,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
INFINITI,QX60,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
ISUZU,PICKUP,TRUCK,Refuse Truck
ISUZU,TROOPER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
ISUZU,VAN,INCOMPLETE VEHICLE,Other Buses
JAGUAR,F-PACE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JAGUAR,XF,PASSENGER CAR,Passenger Car
JAGUAR,XJ,PASSENGER CAR,Passenger Car
JAGUAR,XJ6,PASSENGER CAR,Passenger Car
JAGUAR,XJS,PASSENGER CAR,Passenger Car
JAGUAR,X-TYPE,PASSENGER CAR,Passenger Car
JEEP,CHEROKEE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JEEP,CJ-7,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JEEP,COMANCHE,TRUCK,Combination Short-haul Truck
JEEP,COMMANDER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JEEP,COMPASS,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KIA,OPTIMA,PASSENGER CAR,Passenger Car
JEEP,GLADIATOR,TRUCK,Combination Long-haul Truck
JEEP,GRAND CHEROKEE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JEEP,GRAND WAGONEER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JEEP,LIBERTY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JEEP,PATRIOT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JEEP,RENEGADE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
JEEP,WRANGLER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
TESLA,MODEL 3,PASSENGER CAR,Passenger Car
JEEP,WRANGLER JK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KAWASAKI,KLR650,MOTORCYCLE,Other
KAWASAKI,VULCAN 1500,MOTORCYCLE,Other
KAWASAKI,Z125 PRO,MOTORCYCLE,Other
KIA,BORREGO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KIA,NIRO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KIA,RIO,PASSENGER CAR,Passenger Car
KIA,SEDONA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KIA,SEPHIA II/SPECTRA,PASSENGER CAR,Passenger Car
KIA,SORENTO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KIA,SOUL,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KIA,SPECTRA,PASSENGER CAR,Passenger Car
KIA,SPECTRA LD,PASSENGER CAR,Passenger Car
KIA,SPORTAGE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KIA,STINGER,PASSENGER CAR,Passenger Car
KIA,TELLURIDE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
KTM,ENDURO FOUR-STROKE,MOTORCYCLE,Other
KTM,ENDURO TWO-STROKE,MOTORCYCLE,Other
KTM,SUPER ENDURO,MOTORCYCLE,Other
LAND ROVER,DEFEN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
LAND ROVER,DISCOVERY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
LAND ROVER,DISCOVERY SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
LAND ROVER,LR2,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
LAND ROVER,LR3,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
LAND ROVER,LR4,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
